,CELL_ID
1537,0603.3055
1538,0603.3063
1539,0603.308
1540,0603.3082
1541,0603.3090
1542,0603.3119
1543,0603.3122
1544,0603.3137
1545,0603.318
1546,0603.3210
1547,0603.3237
1548,0603.3242
1549,0603.3263
1550,0603.3270
1551,0603.3281
1552,0603.33
1553,0603.3304
1554,0603.3308
1555,0603.331
1556,0603.3344
1557,0603.3353
1558,0603.3415
1559,0603.3465
1560,0603.354
1561,0603.355
1562,0603.356
1563,0603.357
1564,0603.3582
1565,0603.370
1566,0603.377
1567,0603.383
1568,0603.393
1569,0603.401
1570,0603.402
1571,0603.403
1572,0603.404
1573,0603.405
1574,0603.406
1575,0603.41
1576,0603.423
1577,0603.425
1578,0603.427
1579,0603.43
1580,0603.433
1581,0603.434
1582,0603.44
1583,0603.448
1584,0603.46
1585,0603.460
1586,0603.461
1587,0603.464
1588,0603.466
1589,0603.468
1590,0603.474
1591,0603.477
1592,0603.48
1593,0603.481
1594,0603.486
1595,0603.497
1596,0603.498
1597,0603.499
1598,0603.502
1599,0603.529
1600,0603.53
1601,0603.530
1602,0603.531
1603,0603.546
1604,0603.547
1605,0603.552
1606,0603.554
1607,0603.572
1608,0603.573
1609,0603.575
1610,0603.580
1611,0603.606
1612,0603.612
1613,0603.617
1614,0603.627
1615,0603.644
1616,0603.649
1617,0603.650
1618,0603.654
1619,0603.656
1620,0603.671
1621,0603.672
1622,0603.675
1623,0603.676
1624,0603.678
1625,0603.68
1626,0603.69
1627,0603.693
1628,0603.694
1629,0603.696
1630,0603.71
1631,0603.733
1632,0603.735
1633,0603.737
1634,0603.739
1635,0603.741
1636,0603.766
1637,0603.767
1638,0603.768
1639,0603.770
1640,0603.772
1641,0603.774
1642,0603.775
1643,0603.797
1644,0603.798
1645,0603.800
1646,0603.801
1647,0603.809
1648,0603.814
1649,0603.815
1650,0603.828
1651,0603.829
1652,0603.831
1653,0603.832
1654,0603.849
1655,0603.877
1656,0603.89
1657,0603.891
1658,0603.90
1659,0603.921
1660,0603.922
1661,0603.929
1662,0603.938
1663,0603.943
1664,0603.944
1665,0603.952
1666,0603.953
1667,0603.962
1668,0603.963
1669,0603.964
1670,0603.966
1671,0603.968
1672,0603.970
1673,0603.972
1674,0603.989
1675,0603.993
1676,0603.999
1677,0607.1010
1678,0607.1011
1679,0607.1012
1680,0607.1013
1681,0607.1014
1682,0607.1015
1683,0607.1016
1684,0607.1026
1685,0607.1028
1686,0607.1030
1687,0607.1032
1688,0607.1033
1689,0607.1034
1690,0607.104
1691,0607.1041
1692,0607.1046
1693,0607.1048
1694,0607.1060
1695,0607.1062
1696,0607.1064
1697,0607.1065
1698,0607.1067
1699,0607.1068
1700,0607.1069
1701,0607.1083
1702,0607.1086
1703,0607.1087
1704,0607.1088
1705,0607.1089
1706,0607.1090
1707,0607.1091
1708,0607.1096
1709,0607.1097
1710,0607.1099
1711,0607.11
1712,0607.1114
1713,0607.1116
1714,0607.1118
1715,0607.1119
1716,0607.1120
1717,0607.1121
1718,0607.1131
1719,0607.1133
